gene_symbol	GSM1624229	GSM1868813	GSM1868814	GSM1868819	GSM1868820	GSM1868821	GSM1868816	GSM1868810	GSM1624232	GSM1624230	GSM1624236	GSM1868817	GSM1868823	GSM1868818	GSM1624227	GSM1624223	GSM1868822	GSM1868815	GSM1868812	GSM1624235	GSM1624233	GSM1868811	GSM1624225	GSM1624226	GSM1624237	GSM1624222	GSM1624228	GSM1624234	GSM1624231	GSM1624224
A1BG	175	26	214	27	34	125	26	131	118	17	30	52	24	0	25	63	258	23	54	169	68	56	108	9	69	33	38	3	62	10
A1CF	5	0	30	32	23	5	1	17	0	3	1	0	4	0	0	0	5	8	0	20	1	3	1	19	3	5	0	4	2	0
A2M	0	0	0	0	135	0	0	0	0	21	0	0	0	0	0	1	333	0	0	0	0	0	0	0	20	0	0	0	0	0
A2ML1	918	9	68	11	25	34	26	17	32	42	875	34	10	1	0	3	10	17	20	2720	24	18	13	26	18	466	51	1	1271	49
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	91	717	422	270	2	76	53	58	0	18	29	1	0	15	0	13	0	57	0	1	869	284	35	81	61	4	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	718	1040	0	358	1973	1	415	1668	1249	153	0	0	744	0	0	1158	2465	359	0	4225	745	889	534	0	4	0	2133	115	0	0
AACS	774	76	454	189	70	443	81	247	118	361	459	120	151	0	120	131	74	62	175	296	206	117	141	60	134	220	171	33	53	59
AACSP1	0	0	24	0	2	0	2	17	30	1	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	10	0	0	0	14	0	0	0	0	0	571	0	1	0	0	0	0	2	13	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
